"",From,To,Count
"1",1,6,1
"2",1,8,1
"3",1,11,1
"4",1,12,1
"5",1,14,1
"6",1,16,1
"7",1,17,1
"8",1,19,1
"9",1,21,1
"10",1,22,1
"11",1,26,1
"12",1,27,1
"13",2,1,1
"14",2,3,1
"15",2,4,1
"16",2,5,1
"17",2,6,1
"18",2,7,1
"19",2,8,1
"20",2,10,1
"21",2,11,1
"22",2,14,1
"23",2,15,1
"24",2,16,1
"25",2,19,1
"26",2,20,1
"27",2,21,1
"28",3,4,1
"29",3,7,1
"30",3,8,1
"31",3,9,1
"32",3,11,1
"33",4,2,1
"34",4,3,1
"35",4,5,1
"36",4,6,1
"37",4,7,1
"38",4,10,1
"39",5,1,1
"40",5,2,1
"41",5,6,1
"42",5,8,1
"43",5,10,1
"44",5,11,1
"45",5,14,1
"46",5,15,1
"47",5,16,1
"48",5,19,1
"49",5,20,1
"50",5,21,1
"51",5,22,1
"52",5,23,1
"53",5,27,1
"54",5,28,1
"55",5,29,1
"56",6,1,1
"57",6,2,1
"58",6,3,1
"59",6,4,1
"60",6,5,1
"61",6,7,1
"62",6,8,1
"63",6,10,1
"64",6,11,1
"65",6,12,1
"66",6,20,1
"67",6,21,1
"68",6,22,1
"69",6,23,1
"70",6,24,1
"71",6,26,1
"72",6,27,1
"73",6,29,1
"74",7,3,1
"75",8,1,1
"76",8,2,1
"77",8,3,1
"78",8,4,1
"79",8,5,1
"80",8,6,1
"81",8,7,1
"82",8,10,1
"83",8,11,1
"84",8,12,1
"85",8,13,1
"86",8,14,1
"87",8,15,1
"88",8,16,1
"89",8,17,1
"90",8,18,1
"91",8,19,1
"92",8,20,1
"93",8,21,1
"94",8,22,1
"95",8,23,1
"96",8,24,1
"97",8,25,1
"98",8,26,1
"99",8,27,1
"100",8,28,1
"101",8,29,1
"102",9,1,1
"103",9,2,1
"104",9,3,1
"105",9,4,1
"106",9,7,1
"107",9,8,1
"108",9,11,1
"109",9,12,1
"110",9,14,1
"111",9,16,1
"112",9,17,1
"113",9,18,1
"114",9,19,1
"115",9,23,1
"116",9,24,1
"117",9,25,1
"118",9,26,1
"119",9,28,1
"120",9,29,1
"121",10,2,1
"122",10,5,1
"123",10,9,1
"124",10,12,1
"125",11,1,1
"126",11,2,1
"127",11,3,1
"128",11,4,1
"129",11,5,1
"130",11,6,1
"131",11,7,1
"132",11,8,1
"133",11,10,1
"134",11,12,1
"135",11,13,1
"136",11,14,1
"137",11,15,1
"138",11,16,1
"139",11,17,1
"140",11,18,1
"141",11,19,1
"142",11,20,1
"143",11,21,1
"144",11,22,1
"145",11,23,1
"146",11,24,1
"147",11,25,1
"148",11,26,1
"149",11,27,1
"150",11,28,1
"151",11,29,1
"152",12,1,1
"153",12,5,1
"154",12,6,1
"155",12,8,1
"156",12,11,1
"157",12,14,1
"158",12,16,1
"159",12,17,1
"160",12,22,1
"161",13,14,1
"162",13,15,1
"163",13,16,1
"164",13,17,1
"165",13,18,1
"166",13,19,1
"167",13,20,1
"168",13,21,1
"169",13,22,1
"170",13,23,1
"171",13,24,1
"172",13,25,1
"173",13,26,1
"174",13,27,1
"175",13,29,1
"176",14,2,1
"177",14,5,1
"178",14,11,1
"179",14,15,1
"180",14,16,1
"181",14,17,1
"182",14,19,1
"183",14,20,1
"184",14,21,1
"185",14,22,1
"186",14,23,1
"187",14,24,1
"188",14,26,1
"189",14,27,1
"190",15,5,1
"191",15,14,1
"192",15,16,1
"193",15,19,1
"194",15,20,1
"195",15,21,1
"196",15,22,1
"197",15,23,1
"198",15,24,1
"199",15,26,1
"200",15,27,1
"201",15,28,1
"202",15,29,1
"203",16,1,1
"204",16,2,1
"205",16,5,1
"206",16,10,1
"207",16,11,1
"208",16,12,1
"209",16,14,1
"210",16,15,1
"211",16,17,1
